"LatD", "LatM", "LatS", "LonD", "LonM", "LonS"
   2018,001,4,9,17,63
   2018,001,4,9,18,42
   2018,001,4,9,99,..C
   2018,001,4,9,9999,11106
   2018,001,4,9,77,11106
   2018,001,5,1,01,15
   2018,001,5,1,02,315
   2018,001,5,1,03,51
   2018,001,5,1,04,33
   2018,001,5,1,05,0
   2018,001,5,1,06,15
   2018,001,5,1,07,9
   2018,001,5,1,08,24
   2018,001,5,1,09,87
   2018,001,5,1,12,3
   2018,001,5,1,13,63
   2018,001,5,1,14,30
   2018,001,5,1,15,3
   2018,001,5,1,16,3
   2018,001,5,1,17,3
   2018,001,5,1,18,3
   2018,001,5,1,99,..C
   2018,001,5,1,9999,651
   2018,001,5,1,77,651
   2018,001,5,2,01,9
   2018,001,5,2,02,339
   2018,001,5,2,03,57
   2018,001,5,2,04,18
   2018,001,5,2,05,3
   2018,001,5,2,06,9
   2018,001,5,2,07,6
   2018,001,5,2,08,21
   2018,001,5,2,09,90
   2018,001,5,2,12,0
   2018,001,5,2,13,69
   2018,001,5,2,14,27
   2018,001,5,2,15,0
   2018,001,5,2,16,3
   2018,001,5,2,17,6
   2018,001,5,2,18,6
   2018,001,5,2,99,..C
   2018,001,5,2,9999,660
   2018,001,5,2,77,660
   2018,001,5,9,01,21
   2018,001,5,9,02,651
   2018,001,5,9,03,108
   2018,001,5,9,04,51
   2018,001,5,9,05,3
   2018,001,5,9,06,24
   2018,001,5,9,07,15
   2018,001,5,9,08,48
   2018,001,5,9,09,177
   2018,001,5,9,12,3
   2018,001,5,9,13,129
   2018,001,5,9,14,57
   2018,001,5,9,15,3
   2018,001,5,9,16,3
   2018,001,5,9,17,9
   2018,001,5,9,18,9
   2018,001,5,9,99,..C
   2018,001,5,9,9999,1311
   2018,001,5,9,77,1311
   2018,001,6,1,01,12
   2018,001,6,1,02,99
   2018,001,6,1,03,33
   2018,001,6,1,04,18
   2018,001,6,1,05,0
   2018,001,6,1,06,6
   2018,001,6,1,07,6
   2018,001,6,1,08,15
   2018,001,6,1,09,33
   2018,001,6,1,12,3
   2018,001,6,1,13,48
   2018,001,6,1,14,12
   2018,001,6,1,15,9
   2018,001,6,1,16,0
   2018,001,6,1,17,6
   2018,001,6,1,18,0
   2018,001,6,1,99,..C
   2018,001,6,1,9999,300
   2018,001,6,1,77,300
   2018,001,6,2,01,6
   2018,001,6,2,02,111
   2018,001,6,2,03,30
   2018,001,6,2,04,21
   2018,001,6,2,05,0
   2018,001,6,2,06,6
   2018,001,6,2,07,6
   2018,001,6,2,08,15
   2018,001,6,2,09,30
   2018,001,6,2,12,3
   2018,001,6,2,13,54
   2018,001,6,2,14,9
   2018,001,6,2,15,3
   2018,001,6,2,16,0
   2018,001,6,2,17,6
   2018,001,6,2,18,0
   2018,001,6,2,99,..C
   2018,001,6,2,9999,306
   2018,001,6,2,77,306
   2018,001,6,9,01,15
   2018,001,6,9,02,207
   2018,001,6,9,03,63
   2018,001,6,9,04,39
   2018,001,6,9,05,0
   2018,001,6,9,06,12
   2018,001,6,9,07,15
   2018,001,6,9,08,33
   2018,001,6,9,09,66
   2018,001,6,9,12,6
   2018,001,6,9,13,105
   2018,001,6,9,14,21
   2018,001,6,9,15,15
   2018,001,6,9,16,3
   2018,001,6,9,17,9
   2018,001,6,9,18,0
   2018,001,6,9,99,..C
   2018,001,6,9,9999,606
   2018,001,6,9,77,606
   2018,001,9,1,01,0
   2018,001,9,1,02,0
   2018,001,9,1,03,0
   2018,001,9,1,04,0
   2018,001,9,1,05,0
   2018,001,9,1,06,0
   2018,001,9,1,07,0
   2018,001,9,1,08,0
   2018,001,9,1,09,0
   2018,001,9,1,12,0
   2018,001,9,1,13,0
   2018,001,9,1,14,0
   2018,001,9,1,15,0
   2018,001,9,1,16,0
   2018,001,9,1,17,0
   2018,001,9,1,18,0
   2018,001,9,1,99,..C
   2018,001,9,1,9999,0
   2018,001,9,1,77,0
   2018,001,9,2,01,0
   2018,001,9,2,02,0
   2018,001,9,2,03,0
   2018,001,9,2,04,0
   2018,001,9,2,05,0
   2018,001,9,2,06,0
   2018,001,9,2,07,0
   2018,001,9,2,08,0
   2018,001,9,2,09,0
   2018,001,9,2,12,0
   2018,001,9,2,13,0
   2018,001,9,2,14,0
   2018,001,9,2,15,0
   2018,001,9,2,16,0
   2018,001,9,2,17,0
   2018,001,9,2,18,0
   2018,001,9,2,99,..C
   2018,001,9,2,9999,0
   2018,001,9,2,77,0
   2018,001,9,9,01,0
   2018,001,9,9,02,0
   2018,001,9,9,03,0
   2018,001,9,9,04,0
   2018,001,9,9,05,0
   2018,001,9,9,06,0
   2018,001,9,9,07,0
   2018,001,9,9,08,0
   2018,001,9,9,09,0
   2018,001,9,9,12,0
   2018,001,9,9,13,0
   2018,001,9,9,14,0
   2018,001,9,9,15,0
   2018,001,9,9,16,0
   2018,001,9,9,17,0
   2018,001,9,9,18,0
   2018,001,9,9,99,..C
   2018,001,9,9,9999,0
   2018,001,9,9,77,0
   2018,001,77,1,01,1200
   2018,001,77,1,02,10398
   2018,001,77,1,03,3183
   2018,001,77,1,04,2073
   2018,001,77,1,05,366
   2018,001,77,1,06,1086
   2018,001,77,1,07,777
   2018,001,77,1,08,1527
   2018,001,77,1,09,2925
   2018,001,77,1,12,171
   2018,001,77,1,13,3456
   2018,001,77,1,14,1122
   2018,001,77,1,15,606
   2018,001,77,1,16,249
   2018,001,77,1,17,264
   2018,001,77,1,18,276
   2018,001,77,1,99,..C
   2018,001,77,1,9999,29676
   2018,001,77,1,77,29673
   2018,001,77,2,01,1152
   2018,001,77,2,02,10017
   2018,001,77,2,03,3030
   2018,001,77,2,04,1911
   2018,001,77,2,05,342
   2018,001,77,2,06,1020
   2018,001,77,2,07,693
   2018,001,77,2,08,1455
   2018,001,77,2,09,2829
   2018,001,77,2,12,141
   2018,001,77,2,13,3396
   2018,001,77,2,14,1059
   2018,001,77,2,15,549
   2018,001,77,2,16,231
   2018,001,77,2,17,252
   2018,001,77,2,18,255
   2018,001,77,2,99,..C
   2018,001,77,2,9999,28341
   2018,001,77,2,77,28338
   2018,001,77,9,01,2352
   2018,001,77,9,02,20415
   2018,001,77,9,03,6213
   2018,001,77,9,04,3984
   2018,001,77,9,05,708
   2018,001,77,9,06,2106
   2018,001,77,9,07,1473
   2018,001,77,9,08,2982
   2018,001,77,9,09,5757
   2018,001,77,9,12,312
   2018,001,77,9,13,6852
